Entity,Unsafe water source,Unsafe sanitation,No access to handwashing facility,Household air pollution from solid fuels,Non-exclusive breastfeeding,Discontinued breastfeeding,Child wasting,Child stunting,Low birth weight for gestation,Secondhand smoke,Alcohol use,Drug use,Diet low in fruits,Diet low in vegetables,Unsafe sex,Low physical activity,High fasting plasma glucose,High total cholesterol,High body-mass index,High systolic blood pressure,Smoking,Iron deficiency,Vitamin A deficiency,Low bone mineral density,Air pollution,Outdoor air pollution,Diet high in sodium,Diet low in whole grains,Diet low in nuts and seeds
Afghanistan,5256.649276,3783.111117,4156.209013,19397.37821,2422.369175,94.11813479,14575.26921,4990.036917,17453.44633,5459.172507,631.7738503,862.301904,11225.15396,9605.295515,805.9455107,4977.835021,27534.68392,26789.1737,19254.95751,33345.02347,9241.250845,1035.21142,4442.334736,447.2064906,26054.19572,6872.06,3457.083571,14884.9584,9074.388004
Albania,4.091663843,1.597906849,4.501301236,736.8814547,8.17311858,0.071829069,40.61320894,8.280518644,106.8532782,592.1159196,1485.350647,141.5175619,784.6990017,142.3951046,57.75968084,632.5092922,2992.681104,3030.497571,2635.437768,7246.026904,4161.156448,0.666506861,5.559881962,43.33951352,1638.57099,919.59,1668.336331,2206.716542,1130.544001
Algeria,189.9360966,58.91062157,191.7304618,58.11235973,126.5520966,7.723609176,635.4547155,82.00800501,5259.112675,5257.501749,940.8081093,2035.223813,7651.92125,4663.229717,955.2292382,7995.479816,32278.76056,19901.66905,29338.76406,43660.55537,18609.93068,137.5311425,61.64584392,617.6388198,13222.28469,13315.3,5828.759675,16103.07898,11483.30653
American Samoa,0.72005646,0.179205289,0.293769123,7.550280149,0.118481843,0.003935677,2.285859923,0.120446908,2.734630469,9.616051844,1.760102197,2.166602053,10.64978092,11.69833161,1.872133027,8.755861188,86.19458426,28.14667056,77.1623747,77.27649369,31.21813943,0.260516139,0.205665787,0.702339793,22.1799347,14.63,8.519993366,25.63874674,17.52416428
Andean Latin America,1257.987062,733.6492276,1578.129626,5773.89267,344.1020792,20.47772076,3615.348894,378.8802329,5353.829392,2821.50039,15006.28575,2640.907767,5359.408673,7469.641023,6834.072994,4646.949583,36141.07074,14290.29883,29753.89697,38229.59889,15795.109,260.80799,304.2646632,1375.106941,17686.15335,12011.09,9758.081534,10967.09702,8049.419977
Andorra,0.027021517,0.018488202,0.20630635,0.250689952,0.003816093,0.00065177,0.154660253,0.001400828,0.326638355,6.967264846,26.79354005,4.996633271,10.2240463,8.49016729,1.915685371,13.82338163,66.90072672,54.69675836,51.61646274,88.63983242,79.71227957,0.005498606,0.003464789,4.119963722,23.32316268,23.67,16.95782246,23.27595196,13.33294499
Angola,14656.91821,9615.556653,9735.710078,7129.377633,2363.336774,212.0884704,15969.58181,3714.046908,11337.98366,2143.885505,9079.898398,836.5036453,2704.049407,2283.144002,13751.6071,1140.600094,13735.2981,3811.290361,5953.404709,15314.66618,8810.716924,722.6553392,4216.257339,358.1024786,10728.38312,3724.05,1894.786922,3972.961561,2617.704511
Antigua and Barbuda,1.040682425,0.328516537,1.778130551,1.390787513,0.210435154,0.012582009,2.980395586,0.085465374,3.569663611,5.813789393,16.15932767,4.381435541,8.493671661,15.42507342,11.12911075,15.09500981,116.5830662,36.27135561,81.62361866,114.9736999,38.04276392,0.216298903,0.062875975,1.375845552,31.37556266,29.99,12.97269565,32.18534275,20.72595333
Argentina,267.139167,68.63580741,541.1825861,1240.409292,76.8179279,5.073309788,1298.508278,33.24182383,2566.976883,7399.089731,7181.262549,3771.835755,7582.714881,9760.976076,4541.983696,5875.416649,47639.23528,27639.13457,37927.88557,46362.78971,51911.51827,71.78723983,39.94969029,1106.556467,17011.34249,15930.98,10793.48189,17269.54239,13119.66602
Armenia,3.04552297,4.379285417,12.66488451,481.5416773,7.747661573,0.284808858,34.58214277,5.522294501,98.71227335,1135.035315,289.5887797,236.7314614,1364.241331,24.9658311,168.5686339,1109.601958,6581.749098,4268.678805,3779.626966,8436.619396,4871.943861,1.615080055,0.308142251,45.10738363,2629.635854,2189.15,1961.582677,2855.040263,2159.566343
