Țară/Regiuine,C1,C2,C3,C4,C5,C6,C7,C8,C9,C10,C11,C12,C13,C14,C15,C16,C17,C18,C19,C20,C21,C22,C23,C24,C25,C26,C27,C28,C29
Afghanistan,0.8288803194208753,0.0973840648085396,0.0010733802130098423,5.3849460114558284e-08,0.007885147975831437,0.02018668974082561,0.005037829268950004,0.014590742590432894,0.0020019919220669296,0.0002215602403567742,0.00020585334393050103,0.0005581577677548537,2.381804949970912e-06,0.0005288761039777421,0.012621276843014164,0.0012807318435024391,0.00018199298364122716,0.0002340031289142457,0.0013863819365841964,0.00011511916004620869,0.0034538667335283985,6.848429156428414e-05,0.00010996465009039847,0.0016155943032709552,9.599694799016303e-05,0.0001867792751537754,3.832637320735866e-05,5.429867251499868e-05,1.3380601571257118e-07
Albania,0.9971716841145034,0.00045327115176152716,0.0013565479303632789,5.188703184911585e-05,0.0009261676857145017,5.677713809844204e-08,1.8752900797616374e-06,3.0939997962768326e-08,4.995075492700167e-06,2.520646025056872e-07,2.4351200922799953e-07,1.5749475381558348e-06,7.465087911925675e-06,1.1259460234159995e-05,1.225992692391629e-06,5.7464661162936866e-08,2.0950465628506773e-06,7.301181477700992e-08,2.4534417450067278e-06,2.1929527771923804e-06,1.177807864609542e-07,2.80280544176789e-08,5.331277949182099e-10,1.1152139841696544e-06,1.957935139525989e-06,1.7992917690302262e-07,6.814239477028265e-07,5.00099948995178e-07,1.0076384426316272e-08
Algeria,0.9879814515757994,0.001919242745289686,0.002190638319437457,0.0020277789675761256,0.0006029725563010376,7.907871555723712e-05,0.0011426950429113544,0.0008716680567470673,0.00042645240647801413,3.5908823302153986e-05,0.0021009085637052147,0.00014176410623615782,0.00016927916308038808,4.628048536647328e-05,0.00011118215109147715,2.2613243261636842e-05,4.0454309957526233e-08,1.9643146717987033e-06,1.8480186394954243e-05,5.8752398074131015e-06,2.8355068192526555e-05,1.329018018878642e-06,1.6555900377277702e-05,2.3783657552111005e-06,2.762518477266623e-05,4.8295103775383936e-06,2.172422753225507e-05,1.0215407494552327e-08,9.173922410585907e-07
American Samoa,0.9969815664365588,0.0009566627130079648,0.0012294519551015433,9.56251953826238e-05,0.0006997036006942721,1.354548896665369e-07,2.4817431129108423e-05,1.4954816116755284e-08,8.609445378211531e-06,1.316632215487334e-06,1.6009534901764828e-07,4.0307891219586356e-09,1.257177222931658e-06,2.952624301589694e-07,1.7730315909403207e-07,3.7163245259745977e-10,1.3134462685637433e-07,1.6767963271443556e-08,2.9331363111329755e-08,4.1092678811217896e-10,1.7119444924904273e-09,1.8691354026027906e-09,1.8562778058389334e-08,3.333120271799164e-11,1.8680063468643863e-10,1.1629479016693948e-10,3.2424537211844744e-10,1.092378772948397e-09,1.8845447314223174e-10
Andean Latin America,0.9941324440727524,2.5844840142988783e-08,0.00025029912963147493,0.0006947391237762659,0.0003013838861489373,0.0016980305919335212,2.9350902160598154e-05,0.0005562700126639393,5.224221076660389e-05,1.4908486174512075e-05,0.00010942930031335368,0.00018487501598885608,0.001122609757649241,4.931828648236889e-05,0.00029721798871481066,2.903841092846911e-05,7.878816588398728e-06,8.584132479194806e-05,0.00011000705692396833,3.119458669015787e-05,4.42073309759972e-07,1.5008261477538572e-06,0.00013619334185544922,1.4434143008320987e-06,7.356683594563241e-05,7.065642810877979e-06,2.4518139612990133e-06,2.0180127883222305e-05,5.1117865146105476e-08
Andorra,0.9969822532261509,0.0009524367315827051,0.0012306468453187544,9.494974599390699e-05,0.0007017251171396972,1.2862603801229758e-07,2.5656631403150016e-05,4.750050707308796e-08,8.866933118210058e-06,1.2317578086169126e-06,1.9896521978077452e-07,4.811156678602948e-11,1.1687528150518236e-06,2.682796763731157e-07,2.007463952243274e-07,5.219448449398522e-11,1.4374495006529327e-07,1.2380704522327744e-08,3.579707273116284e-08,1.438494254196072e-11,5.983466878743344e-09,1.6167023907554125e-09,1.7149976729293836e-08,3.979609996878805e-11,2.5186030842329312e-11,4.647521153974645e-10,1.1817560448863302e-09,1.4430362421573873e-09,1.9874172535511728e-10
Angola,0.816516973729551,0.17266828162919956,0.002560801641993094,0.00025378199204699394,0.0017668101715180551,0.0004014790899090752,1.240149247494462e-08,0.00048318750116189935,0.0005266224932820723,0.00022639682663463912,0.00036334150404812956,3.4520664536338285e-06,7.014557331390049e-06,0.00045019438701090266,0.0013402945723880468,0.00019390680141421953,0.0005841718029959782,6.585965625656315e-05,0.00016026797797064754,0.0006118873584599031,1.8841129223908414e-05,0.0005175088252477955,8.968998627153815e-05,2.828140947378763e-06,6.517864478966516e-07,0.00017969789195307792,8.240765466183295e-08,5.925293351392068e-06,3.637778409565109e-08
Antigua and Barbuda,0.996987899644719,0.000954711288356274,0.0012265338157415114,9.463628662179827e-05,0.0006990012903705979,1.7830645682135826e-07,2.489103076877692e-05,2.686463577499018e-08,8.721404455581079e-06,1.2946711158637144e-06,1.5490460362585402e-07,3.306366445263534e-09,1.2325881002791286e-06,3.118414307772421e-07,1.9029356394359343e-07,1.1013868939004992e-10,1.276705151304391e-07,2.244435150974475e-08,2.478441607973698e-08,2.8654369237876246e-11,4.978868633410246e-09,2.975477283452122e-09,2.598613632331997e-08,5.707315974882879e-10,2.5443708141836843e-10,2.412139585630735e-10,5.865255850666289e-10,1.6552127083886046e-09,1.7601405334628854e-10
Argentina,0.9815526302950139,0.008237287895882607,0.0007824053273497803,0.0036263501115650285,0.001043699466326399,0.0003105407112776101,5.5738876156960386e-05,0.0007833036729205187,1.642524668766107e-05,2.0307947637433742e-07,0.0005760281735448701,0.0002098420726225845,7.703637474873428e-05,0.00041245569628955216,4.8748399951467285e-05,7.042359887380315e-05,0.0004074445343427276,0.00010287832934158135,0.00023920738948833608,8.11128558402744e-06,0.0001914104013956706,5.700167561820149e-05,0.0004983298027294163,0.0006083258874313423,1.2362085034192666e-05,3.6534545529514194e-05,3.339572108531958e-05,3.957573127783551e-07,1.4835864187730475e-06
Armenia,0.9972166082605606,0.0002769444800129255,0.001391400025723595,1.821734408854267e-05,0.0009543763170286561,7.988049887991041e-09,4.521618925148708e-10,3.04219830834513e-06,2.1304163254855535e-05,4.084158374741275e-09,1.4901785529773675e-05,1.45395109796866e-05,5.8486625528942475e-05,2.299002719993407e-06,5.259810841572926e-06,5.1231255822797385e-06,1.995617654179363e-06,3.598832744427706e-06,9.974278192440304e-07,2.0696797984152156e-06,3.2261113317426743e-07,1.0148498036952622e-06,5.197501254931821e-06,6.426786951356034e-07,1.505164257269194e-09,5.5622652711204044e-08,9.989715794656799e-07,5.832973143862548e-07,6.229856084680817e-09
