Factor de risc,C1,C2,C3,C4,C5,C6,C7,C8,C9,C10,C11,C12,C13,C14,C15,C16,C17,C18,C19,C20,C21,C22,C23,C24,C25,C26,C27,C28,C29
Unsafe water source,0.032214422497953824,0.06380134616247021,0.09593897822654263,0.13407337585100576,0.16581327290578352,0.1969741370387479,0.22844167896576031,0.25852256588481165,0.2938552325100735,0.3300737300222253,0.36764489877177653,0.40184622876752657,0.43852516041499023,0.47683273255902964,0.5094846894462706,0.5451985538046803,0.5824073036353543,0.6143336408778042,0.6498747967302236,0.6865109955347882,0.7211081423375486,0.7537199413754571,0.7838781044141248,0.821232918960196,0.8600226860865993,0.8969995205584815,0.925597488847253,0.9626016485446423,0.9999999999999993
Unsafe sanitation,0.045466451062620476,0.10124115949831744,0.15918845536233345,0.163180472545025,0.22454288134427544,0.28701063346105066,0.3495623141254482,0.4223141728127607,0.45773683540409443,0.4819992205592493,0.4993227474066352,0.5285634991202073,0.5528058509180256,0.5654506535704099,0.5876657677627759,0.6152310360571854,0.6304387744810745,0.6351636643950923,0.6617650337668284,0.6883638443587574,0.7285306218606283,0.7844550594378804,0.8570228053438218,0.8692488479903987,0.8749208713669284,0.8950652610789732,0.9582272556041186,0.981614562893554,0.9999999999999994
No access to handwashing facility,0.13967573961376553,0.22733383641259491,0.25260419185307953,0.28761813976831385,0.3048005417292762,0.35376670236083335,0.3845506313944247,0.41177596156715784,0.4146698022394299,0.41478544319495125,0.41504402090213427,0.45878074395478174,0.45878908386272144,0.4607017914100416,0.7334837364013305,0.734602013333736,0.7349707563863618,0.849176595767414,0.8598940977291617,0.8621775158888397,0.8697594401455284,0.8745539250010037,0.8887432655912776,0.9191855799367031,0.9359297486241788,0.9485570690578928,0.9967492705406753,0.9968092342717719,0.9999999999999991
Household air pollution from solid fuels,0.005010193732315544,0.007761579902216785,0.008837006339648613,0.09871305437992078,0.09894214660950124,0.10094211493729761,0.10122269808012091,0.1014327566160685,0.10143442896225581,0.16845662713656218,0.16894363349325697,0.2320687538396745,0.2588107425023377,0.2591094305886873,0.2623872599567842,0.3086023581332356,0.35087052079817693,0.6576566218127508,0.7318493525855714,0.7319089425015023,0.7342787925860874,0.7342798875691203,0.734280030822713,0.7345613971016951,0.7815511611966228,0.8136542054094752,0.9909712945844178,0.9910177785813782,1.0000000000000004
Non-exclusive breastfeeding,0.026772710611454236,0.04039496892992849,0.045738510745412554,0.04901415769330209,0.05051455033027645,0.05392513032889892,0.0567046451280332,0.05988402327061919,0.06107917312467147,0.07729559446548717,0.07772397722305882,0.11616044525726094,0.12165960848442754,0.13185504260920697,0.14584903730026777,0.168509705234142,0.23105056909228602,0.7610319121643575,0.8004110033968139,0.8015174699782932,0.8015180253863021,0.8022995409050524,0.805253451906801,0.8543953027552722,0.8568118611700882,0.85970335507055,0.9843933571904608,0.9849743698035348,0.9999999999999996
Discontinued breastfeeding,0.024944168907628673,0.025870517693214027,0.02633277777566423,0.04731673917088366,0.06934014066353567,0.08233530661534787,0.10963139078117914,0.16137948593911455,0.1613888021056909,0.16283948912161492,0.1927074937903331,0.26580519465261526,0.26633978901728494,0.279210849553505,0.8262394129129376,0.8400020321916788,0.8522084743920189,0.8541339342115593,0.8554744129969082,0.8554833936999902,0.8922802309312258,0.9046327809477991,0.9488306124509699,0.9559803987457892,0.9580089069047809,0.9586367287589342,0.9940612996451752,0.9944096802432767,0.999999999999999
Child wasting,0.003325350822347353,0.007013888176911593,0.011176224775255098,0.015387778396624755,0.020148751755160725,0.0249692063619155,0.024970030019918696,0.025817508632625018,0.03699630343116837,0.039744283068882794,0.08147675124293345,0.32562392033457005,0.3393941167383931,0.3431606567397776,0.36439404369718004,0.4558407264673876,0.45829293778170427,0.4665323331836936,0.4795611100158098,0.508548281224157,0.542686275618332,0.5467761205755537,0.5470121732665034,0.8185623371459635,0.8206743866332202,0.8230899818172364,0.8379741070205908,0.9025450607496805,0.9999999999999993
Child stunting,0.01847747407402986,0.09471862069110415,0.16104845979644772,0.2760168110071109,0.29145502804063766,0.3455830153045695,0.34605767458727354,0.34842733031801604,0.45772735764389205,0.47325857441949376,0.6251051320231424,0.6287668073594416,0.6288343037191954,0.6978010025312398,0.7132696415705371,0.7597870347588173,0.8832120499624369,0.8838908608105469,0.8877864223687703,0.887814281799311,0.8925484061745101,0.9156817148969021,0.9729338171101987,0.9730825100003778,0.9744282340398436,0.9922476161994482,0.9960252494352883,0.999280220716274,0.9999999999999998
Low birth weight for gestation,0.01760862391697436,0.027988781952043275,0.03324762983962051,0.13312473122896212,0.2371896450612418,0.3341002356245646,0.35552980170477433,0.3738818909469151,0.3944976071009697,0.4001387555682425,0.4136280962535192,0.4183181978889547,0.42076794047545724,0.511519324921714,0.5123361134011253,0.5146552911023015,0.5502781601727698,0.5505171527087483,0.5505635214592747,0.551592293915783,0.5628777911465744,0.6047484540272597,0.7503419560702442,0.8289601414866163,0.8444893652697293,0.9682737611414531,0.9732710776543195,0.9974413413119478,0.9999999999999997
Secondhand smoke,0.016082404135969803,0.021560068025609558,0.021754542829720138,0.05059017254590134,0.05062840630829028,0.050763845451982384,0.06948557572035333,0.07470936805765119,0.09113563360034452,0.09167507848260911,0.09186427846736343,0.5065457132308324,0.5290028839171067,0.5303203285032644,0.5331229553772462,0.5417963329681476,0.6659447619542713,0.6660054723386791,0.6662692268752494,0.6738788080886741,0.7515443847152994,0.752929374692638,0.7981132806081022,0.9634734882178602,0.9644415526357435,0.9652558896376697,0.9669162096179008,0.98085136083306,0.9999999999999998
Alcohol use,0.01563301565961646,0.031593256485234734,0.03219446771720271,0.05683347322321614,0.12194439088438766,0.16661542700429197,0.17511330308472628,0.228631332838582,0.33247748781895514,0.33250338095017673,0.5733460796292585,0.5770080448779076,0.5796974127769013,0.6332859528741713,0.6761725992159173,0.7104357662808396,0.714127777666313,0.7149088929570159,0.7406451771907718,0.7415988597409243,0.7521986709460254,0.9013239214871546,0.9182463876811893,0.9245128648606172,0.9332818204891898,0.9835341838665402,0.9886212822121262,0.9998036428564624,1.0000000000000007
Drug use,0.0024234925848554806,0.007358891158913432,0.007444831956653354,0.010662784023495183,0.012327640361312975,0.02457625694322766,0.053069928310720424,0.0541239506685073,0.05515070299772009,0.12090383964214385,0.12344886276361026,0.12834192956928525,0.23284959622727108,0.2814185229852227,0.289310161919735,0.36238304572019775,0.40720938725113903,0.40721171793302086,0.5175131585416187,0.5177286658907816,0.6795821230223786,0.742112477329031,0.8503177550928187,0.8628953218724076,0.9154862908475037,0.9849447876539583,0.9857181471829491,0.9873072679958153,0.9999999999999999
Diet low in fruits,0.055174597686295075,0.0615269968089043,0.06402014134304938,0.07305445066816589,0.07637410179494604,0.10512332617016537,0.1051386516609767,0.1460576084092287,0.1706848303257298,0.1733591299000134,0.4696207784752494,0.46969241258607,0.5258759965885133,0.5502905477335097,0.556751003913902,0.5732729952773382,0.6384897686347497,0.6387310975342965,0.6665241864117838,0.695544724054959,0.696580126420712,0.9089530508893261,0.9184115308483333,0.9389784712842928,0.943349804752744,0.9650357083990149,0.9650638309028289,0.9927179968664909,1.0
Diet low in vegetables,0.06159950101842253,0.06281575994735401,0.06323132279779517,0.27932667798664573,0.27966125280641835,0.291064390488061,0.2915351689848687,0.3018615364151858,0.35658415355634115,0.3715295847931059,0.4442005471354175,0.444201247518858,0.4482099968089507,0.8365147120227664,0.8366927480859365,0.838041608400995,0.8400521102080992,0.8401101238290736,0.8546342199670421,0.854686130303317,0.8984404089572406,0.9042301937152528,0.9276438554562323,0.9285187537275915,0.9285463077265711,0.9534581996779254,0.9764395563729198,0.985189857721511,0.9999999999999994
Unsafe sex,0.03165006465737095,0.0901218415315001,0.09024055200228744,0.10040476854448567,0.11169182707128854,0.33885652904579466,0.3566508369122267,0.5191245194884072,0.7003790338085005,0.7097319438981591,0.7146021900016338,0.7158013928577314,0.7223402070473272,0.7607537000775288,0.7607566822766231,0.7616147667851992,0.7672439170792061,0.767252692746224,0.855530519471828,0.8560422505373066,0.9146783321518464,0.9189655990477936,0.9234037443627999,0.9808477855535856,0.9829913253498711,0.9843622610269601,0.9868071340386904,0.9923237136276754,0.9999999999999996
Low physical activity,0.02729662107632656,0.07065076032349303,0.08367406808264738,0.09849571408964689,0.1327335852601503,0.1335465311468569,0.13794460421619945,0.13889720552613516,0.3244555991476032,0.32514216377335,0.32517191025483116,0.3338166628042975,0.35867583098834177,0.3827544702261175,0.3848832498307872,0.39534748039438483,0.41688564639721915,0.4168941214108338,0.5685785780348502,0.5732823956257325,0.5744759560690907,0.7131333925730897,0.7318266954320329,0.731835680046713,0.7930131926962344,0.8567147237230425,0.9748531389956536,0.9748979128678673,1.0
High fasting plasma glucose,0.025183736524147366,0.02791986901787048,0.045461180289968345,0.07770438737048738,0.09343690748058908,0.1213375222833659,0.12700847193754822,0.1743899383178031,0.182585177488481,0.1825855674035374,0.19889384460255283,0.20247320251190754,0.22040411022042794,0.3256202162828322,0.3289302318389834,0.38368365236011626,0.4127159067600734,0.41277783774162324,0.45671141445323843,0.4869528585953999,0.5579800417190236,0.6038275790295723,0.6450823178730835,0.7032622698811459,0.7502027830369954,0.838515213433324,0.8888544764424892,0.978530041562547,0.9999999999999998
High total cholesterol,0.06895492609880281,0.07577582697573604,0.09294359347922376,0.15693461506318254,0.16094591888611914,0.24107148010705892,0.24312185679805629,0.3017209430556997,0.3018389997019794,0.30400433880789896,0.32092961422614497,0.3222998209092892,0.3234718991227122,0.35277745678234507,0.35278352835312093,0.37249724603466206,0.5390216030763871,0.5390478979172446,0.5393046387780265,0.5425827902714631,0.5454221752658885,0.6403965605712966,0.8096839947364242,0.8985896573095828,0.9013250564279699,0.9082191127881725,0.9478548317746622,0.9963990487069263,0.9999999999999992
High body-mass index,0.035173455997537115,0.0699841746408536,0.07683404388432731,0.07689349310434548,0.0866081135223831,0.08668983420218605,0.20120086152381883,0.2412950864424678,0.2458994613802351,0.5359981451573852,0.5444933350710296,0.551280627034615,0.7063313981301541,0.707174892192652,0.7076680565205573,0.7159968413295061,0.7209678964017404,0.7209773515926831,0.7430932380228371,0.7450194948693448,0.8038718996779143,0.8087814823039088,0.8422927824325308,0.848335563469596,0.8556912786895849,0.8684831036424696,0.9166597754134798,0.949389140024178,1.000000000000001
High systolic blood pressure,3.847725089199165e-08,0.042668326950767284,0.08755127248837516,0.11470069358885153,0.11688564923939423,0.15271860790785569,0.27610317784444743,0.2767816608452821,0.3879800577857976,0.42218631840713167,0.4601826268122473,0.4624783015792164,0.5096443205766149,0.5119647481528133,0.5123793682636287,0.5141179999101598,0.6148080076027365,0.6148238366442573,0.6506736138977148,0.6755014627971172,0.6875249795760562,0.7491945699054877,0.8154385293169905,0.8747676401383615,0.8814670744396337,0.9434722166905918,0.9449389632699822,0.9769297541636579,1.000000000000003
Smoking,0.004617894150736826,0.009436157953697753,0.0859964337668381,0.08661717630770448,0.08689705528189509,0.10346283329894071,0.167654491536754,0.32811746047878876,0.3685326787252736,0.3969648726836894,0.3992236846353785,0.4134231769748443,0.45385461812153516,0.4597277799021004,0.46120853686403235,0.68940499261673,0.7055509348181669,0.705550946126795,0.8681399058251343,0.876932289870332,0.8973158096502083,0.9198895680821477,0.9318666049779936,0.9332525118659079,0.9334865495525412,0.9344641872109817,0.940941649418743,0.9941192318835449,1.0000000000000018
Iron deficiency,1.9467762787145088e-05,0.002235569548648351,0.010973436322668473,0.026757597333849352,0.5373050219927218,0.718624950516379,0.7186296363428434,0.8637731493681708,0.8829358296728477,0.9038695170521961,0.9065069869801611,0.9066061440637561,0.912213385021535,0.9141004493172165,0.9143395117214981,0.9267986510348492,0.9313619575097226,0.9313622224043756,0.9339573911421182,0.9343397976949065,0.950039569257557,0.9512025556470077,0.9724731003925231,0.9729040338561473,0.9849418817555469,0.9957709082375347,0.9977806223187118,0.9978021254181019,1.0
Vitamin A deficiency,0.0021229705626663836,0.0021694564649703697,0.004821621161436837,0.01077302500660447,0.021561165398815342,0.025569405503849753,0.027739252657345143,0.02780329164377987,0.04279045592920696,0.08529730923887313,0.08605537035655318,0.08624905551228541,0.0876543555526332,0.09919788034808014,0.09919789094096192,0.1293168733520717,0.13423048964337708,0.1342328631496819,0.1462240182129196,0.2085998696548646,0.3524108329801531,0.35815751485333835,0.3581608142095905,0.35819706968200066,0.36080023750424955,0.37597407124386134,0.37868237239599656,0.467582738856469,0.9999999999999989
Low bone mineral density,0.00873321420316228,0.012161514748151527,0.026412575649712108,0.04140354328763894,0.0463756866212596,0.04810177242796296,0.18922584814834928,0.21713356604403772,0.2172234798943226,0.22860223093112822,0.22903976372503826,0.22944840031526773,0.2568921643965774,0.27039777168809576,0.27058042878842276,0.3737117470323326,0.38984176009916927,0.3898417632307222,0.43987468230704707,0.44886328780522067,0.5362991308163247,0.5448665363761398,0.5670520341595582,0.5935023895734327,0.5988249547234593,0.6132330140018737,0.6386216263165913,0.996475997749886,0.9999999999999993
Air pollution,0.0010325595847454276,0.029101741137722185,0.061172111575423016,0.09837652228117223,0.14970300144505233,0.15074260756627117,0.2934116432937801,0.29341893074938485,0.29385356957013736,0.5317828910814779,0.5323937122302016,0.5324039013989498,0.7813727959896106,0.7858490100155074,0.7858995615168493,0.7858995987014461,0.7867831731698903,0.7867835461444407,0.7940327606732304,0.8061355253252452,0.8101661894829512,0.8108618686545165,0.819414969482724,0.8226859694860253,0.8276563459104093,0.8280311260931803,0.9257549926823098,0.9361118118922718,0.9999999999999992
Outdoor air pollution,0.030540022335808898,0.13767117288878744,0.6570750944953405,0.6745584030348661,0.6748053787876487,0.6838969009035156,0.7576286501130611,0.7615951569803853,0.7624870432025352,0.7679000626946825,0.769129059481985,0.7696650386216157,0.8689096690470661,0.8695968189935602,0.8715644266311556,0.9228894185031266,0.9230564742059569,0.9230565618845208,0.9364059887138979,0.9540534696176806,0.9543310406819899,0.9555617386701265,0.9646636415327922,0.9647819651451213,0.9654453304713588,0.9656971512226201,0.9896125515280321,0.9902052559520587,0.9999999999999996
Diet high in sodium,0.1067651409163691,0.1906208553781491,0.23375103509721556,0.23398902799086752,0.24665216110036955,0.24684344255590837,0.3006192655918618,0.31779765702551466,0.33310032571999726,0.379802587421329,0.37983429980036004,0.3804899462708207,0.3821975054877076,0.38552973711622746,0.38556126812569347,0.4048857370390243,0.46230564499964877,0.46230725019810864,0.46230878650592827,0.8078912048119692,0.8601500685505062,0.8615384825077258,0.8687339586016889,0.8737779554593169,0.8914191960906919,0.9042722003900721,0.9457240817984716,0.9997918933384039,0.9999999999999999
Diet low in whole grains,0.1918331967299484,0.4560330221041904,0.4563853436689626,0.4665326500111476,0.46961336061066616,0.46968330286223153,0.49046946781956446,0.5074541368149926,0.508569855153011,0.525112263028851,0.5268711132752995,0.5292250043927281,0.551816427363002,0.5541537924525327,0.5541543687612589,0.5902741925134993,0.5904649702476197,0.5904650047525848,0.6156064123524994,0.9554826467576982,0.9600955147926173,0.9616210632965907,0.9771045622043936,0.9775281232631754,0.9786526578865843,0.9788772812147856,0.9861663490733846,0.9961314991799295,0.9999999999999994
Diet low in nuts and seeds,0.0016685445980899353,0.0024700384906442933,0.003950096677147316,0.06094556449657482,0.061102416706600965,0.061104551580866306,0.06157844271556365,0.06187780484190448,0.06195008199873323,0.06245705709555161,0.06259519096889346,0.06261618579468829,0.06265883048317795,0.06292972784984308,0.0629337186044798,0.06520230266220813,0.06520826557232896,0.06522208353184979,0.06679233157290035,0.07096644878563886,0.07130501907947671,0.07130504563182483,0.07177322362154195,0.07214305118410373,0.702139137721122,0.9954571607529729,0.9967180077217742,0.9967458113870789,0.9999999999999988
