Țară/Regiuine,C1,C2,C3,C4,C5,C6,C7,C8,C9,C10,C11,C12,C13,C14,C15,C16,C17,C18,C19,C20,C21,C22,C23,C24,C25,C26,C27,C28,C29
Afghanistan,0.0001261298027506312,0.0001113161273327717,1.3546587156242198e-05,7.981908112612931e-10,0.00020049669701667537,0.001411246658802584,0.0004206251932994885,0.002474705269631505,0.0005928268765084795,8.608981482387234e-05,0.0001179625717340599,0.0007143509995046874,3.4316787218489865e-06,0.0013213370669161982,0.04607521415923811,0.007287357270493824,0.0011389197723460965,0.0019708161366404965,0.021802981193604003,0.0018720808293374049,0.0802106306803246,0.0020871162207185315,0.003971049407657483,0.09894424078649257,0.007889993810346017,0.025762577027316363,0.006302717606024,0.0177446764315678,0.0002461830286233836
Albania,0.00027177910963091935,9.280011526877102e-07,3.0664204236967063e-05,1.3775407145766253e-06,4.218006495000913e-05,7.109377274392811e-09,2.804403738859441e-07,9.399107429221432e-09,2.649280027991152e-06,1.7542522945760757e-07,2.4993491826340884e-07,3.6102811254958967e-06,1.9264405012704998e-05,5.038456229934124e-05,8.016267415956204e-06,5.85642990512275e-07,2.348293698317414e-05,1.1013816430342108e-06,6.910810504967145e-05,6.387435223654403e-05,4.899153533754881e-06,1.5299204971798891e-06,3.448289856074004e-08,0.00012233103755729356,0.0002882290715955183,4.4451094224757525e-05,0.0002007094228877151,0.00029272238027553673,3.3205302764321783e-05
Algeria,0.00020837016107580692,3.0406115878862183e-06,3.831844162224389e-05,4.1658807346369296e-05,2.1249845090263027e-05,7.662284493958031e-06,0.00013223396704011782,0.00020490759980636752,0.00017502374857697152,1.933846361840597e-05,0.0016686079371269658,0.00025146747183247425,0.0003380374207414401,0.00016025752308739533,0.0005625485241071278,0.0001783345772041137,3.5088445878464394e-07,2.292959337909116e-05,0.0004028099446739899,0.0001324230020944947,0.0009126786651302535,5.6136765107836136e-05,0.0008286399092909788,0.00020188204629732783,0.0031469169087208607,0.0009232611664690134,0.004951483261194994,4.626956489424478e-06,0.0023393671202147598
American Samoa,0.0002802272167793212,2.0198835598119002e-06,2.8660592786336453e-05,2.6181528791337876e-06,3.286311902159194e-05,1.749161065129003e-08,3.827418551664557e-06,4.6851603699878915e-09,4.709101325838395e-06,9.449780474691647e-07,1.6945809411002932e-07,9.528884388965796e-09,3.3457557172576378e-06,1.3625898815750724e-06,1.1955777927173953e-06,3.905914945186985e-09,1.5182667987326896e-06,2.608567357478418e-07,8.520449987841091e-07,1.2343511721970003e-08,7.343672998250934e-08,1.0521889232462781e-07,1.2382047406822328e-06,3.770565492382723e-09,2.8359259100990947e-08,2.962908046255183e-08,9.849205688188364e-08,6.594007261838857e-07,6.404514566789818e-07
Andean Latin America,0.00019007570098169646,3.7119362251274965e-11,3.9691006737360835e-06,1.2939085772807584e-05,9.628837732043029e-06,0.00014915567905639425,3.0791422682410765e-06,0.00011854635386360195,1.943764184754348e-05,7.278635273654589e-06,7.879096021063793e-05,0.00029729621017889713,0.002032290120601071,0.00015481894982743313,0.001363313155041027,0.0002076066045954414,6.19520872728203e-05,0.0009084004095319991,0.002173752025547851,0.0006374009178508542,1.2899625871927397e-05,5.74701748035927e-05,0.006179659347022397,0.00011107227722617866,0.007597273816404137,0.001224528115846477,0.0005066104025709385,0.008286273263068942,0.00011817119950568185
Andorra,0.0002802099708764056,2.0108357399809417e-06,2.8686662364755976e-05,2.599497753349768e-06,3.295601296267108e-05,1.6608751216798566e-08,3.9565962913218655e-06,1.4880399873509367e-08,4.8496373667701125e-06,8.840066640454156e-07,2.1058805852116895e-07,1.1372984640229777e-10,3.1102361659523065e-06,1.237991651199846e-06,1.353574280887378e-06,5.485380210344883e-10,1.6615038529921613e-06,1.9259281128973806e-07,1.0398022953714133e-06,4.3207126469335535e-10,2.5665487321428563e-07,9.100306403780483e-08,1.1438945683115696e-06,4.501621633212248e-09,3.823395602276364e-09,1.1840015244970858e-07,3.5894526265072156e-07,8.71016495323647e-07,6.753700471890068e-07
Angola,0.00013847060086138609,0.00021996279466227203,3.601792761680931e-05,4.192302802273794e-06,5.0067249816435096e-05,3.1280034291616623e-05,1.153964001362148e-09,9.133311081614606e-05,0.00017379266373807224,9.80385212800194e-05,0.00023204263394744585,4.923798844210808e-06,1.1263339335603245e-05,0.0012535054319248596,0.005452941009087831,0.0012296212715581566,0.004074230063408499,0.0006181734885376254,0.0028089642865038417,0.011089575846579115,0.0004876404842798191,0.017576803482129363,0.003609629459736639,0.00019303040775352117,5.970229608021047e-05,0.027622950869120397,1.5103032252977037e-05,0.00215801868047662,7.45907859322703e-05
Antigua and Barbuda,0.00028017971969088027,2.0154088862616163e-06,2.8587538156536192e-05,2.590621598119583e-06,3.282436041850087e-05,2.302108610575264e-08,3.838094275587237e-06,8.414880731584316e-09,4.769500645211643e-06,9.290526483288293e-07,1.6393494955617832e-07,7.81495693386035e-09,3.2797392678255517e-06,1.4388463132801477e-06,1.2829481065774953e-06,1.1573712205254414e-09,1.4755367104311341e-06,3.4910207273321837e-07,7.198344061816445e-07,8.60575062987811e-10,2.1353936304158504e-07,1.674685366146105e-07,1.7330649018158492e-06,6.455219955575075e-08,3.862073747749921e-08,6.144463576764655e-08,1.781303850474555e-07,9.989726657825781e-07,5.980682342727929e-07
Argentina,0.00018595403798964247,1.1722508860294863e-05,1.2293463130926898e-05,6.692081719134463e-05,3.303991868293612e-05,2.7028534317067035e-05,5.793969138994021e-06,0.00016540261985353432,6.055410625406981e-06,9.824085076573222e-08,0.00041095679439794074,0.0003343592824881823,0.00013818547615272438,0.0012829304497904697,0.0002215595982599469,0.0004988801257957795,0.003174483819526785,0.0010787342848135714,0.0046835343988132485,0.00016422255703788256,0.005534240427038336,0.0021627654441406367,0.022404496520650206,0.04638319273105897,0.0012649608867491995,0.006273796978791784,0.006837338538451783,0.0001610178245147954,0.0033982979534244607
Armenia,0.00026837819489045826,5.598797245915717e-07,3.105704658918142e-05,4.775757516114104e-07,4.291892784917685e-05,9.87666726695302e-10,6.67694240279007e-11,9.12568437527412e-07,1.115737118398959e-05,2.8066894157898313e-09,1.510276451039892e-05,3.2910639360378654e-05,0.0001490351912821515,1.0158532972117513e-05,3.395987097958723e-05,5.155593790534039e-05,2.208755586755181e-05,5.3606560683375326e-05,2.7742545181354427e-05,5.952672377965259e-05,1.3250660943412016e-05,5.470024530530074e-05,0.000331954555462131,6.961197357512083e-05,2.1879377900476693e-07,1.356888465768878e-05,0.0002905461289762216,0.00033713254988695294,2.0271800400105585e-05
