Factor de risc,C1,C2,C3,C4,C5,C6,C7,C8,C9,C10,C11,C12,C13,C14,C15,C16,C17,C18,C19,C20,C21,C22,C23,C24,C25,C26,C27,C28,C29
Unsafe water source,0.1794837666697293,0.1777271044734494,0.17926971875939454,0.19528030526518322,0.17815694500854512,0.17652440095625413,0.17739092966387102,0.17343842399840734,0.18796985562919877,0.19031158007896357,0.19383283712919044,0.18493601595078776,0.19151744476016708,0.1957232028759989,0.18069852486182858,0.18898112169846432,0.19289569676556811,0.17867942590698546,0.18852362147067803,0.191405848407421,0.18600308277757216,0.18058737231021557,0.17366105792222866,0.1932739365410434,0.19695117955067765,0.19229361526551586,0.16910933826602084,0.19236465293132515,0.1933865338004616
Unsafe sanitation,0.21322863565342362,0.23616669628822975,0.2407224457004706,0.06318241197272821,0.24771436938387417,0.24993549591199565,0.2501033399704961,0.2697255247233982,0.18820909274350625,-0.1557638762844418,-0.13161886964788092,-0.17099927401475154,-0.1556995561901776,-0.1124491113899274,0.1490473555363061,-0.1660279142024302,-0.1233196595190284,-0.06873783466198045,-0.1630992623273817,-0.1630914178978434,-0.2004165100531165,0.2364834826732136,0.26938401197164863,-0.11057143684775429,-0.07531283673139498,-0.14193093289359004,-0.2513205016013325,-0.15292909235797944,-0.1355929094991528
No access to handwashing facility,0.3737321763158285,0.29607110091805544,0.15896652301816444,0.18712014299704427,-0.13108166142127706,-0.2212829876686348,-0.17545349535871702,-0.1650010005204004,0.05379442975134201,0.010753648474882435,-0.016080351587668476,-0.20913326625060755,-0.0028878898766522094,0.043734512085081854,-0.5222853099516478,-0.03344064790648598,-0.019202683474602043,0.33794354466545484,-0.10352536868684727,-0.0477851248787532,-0.08707424565673089,0.06924221873593689,-0.11911901859180099,0.17447726025309293,0.12939926076866,0.1123713505913054,-0.21952722264626431,0.007743625190863837,0.056486863324380035
Household air pollution from solid fuels,0.07078272199001352,0.052453657354861745,0.03279369508658377,0.2997933422213912,-0.015135792994767472,-0.044721005442592415,-0.016750616192346402,-0.01449339628753706,-0.0012931922468466818,0.2588864580743967,0.022068220514912057,-0.2512471300262304,0.1635297791310903,-0.017282594896298926,-0.05725233067829571,-0.21497697127006749,-0.20559222423268184,-0.553882750241036,-0.27238342602445664,-0.007719450494103414,0.04868110603288586,0.0010464143696059644,-0.00037848856340837997,-0.01677397624244506,0.21677122524663592,0.1791732240399004,0.4210903574946149,0.006817917347724181,-0.09477458213372533
Non-exclusive breastfeeding,0.1636236859731935,0.11671443063509437,0.07309953362015426,-0.05723326784213476,-0.03873490205195252,-0.05840017122083175,-0.05272110392560349,-0.05638597469749006,0.03457093944416729,-0.12734371339338152,0.020697409441078528,0.1960522074198659,-0.07415634313507245,0.1009724424027637,-0.11829621587802713,0.1505346070970866,0.2500817143618142,-0.7279981751845752,0.19844165699886804,0.03326359243195644,0.0007452570086344418,0.02795559905904827,-0.05434989422021468,0.22167961306460113,-0.0491585029757416,-0.05377261292202346,-0.35311471524125254,0.02410420322420917,0.12257907731935647
Discontinued breastfeeding,0.15793723091034828,0.03043597847261285,0.02150023447430755,0.14485841844787423,-0.14840283519074698,-0.11399634183521946,-0.1652152661403639,-0.22748207656414476,-0.003052239600086145,0.03808788542206076,0.1728236230054161,-0.27036586482446734,-0.023121296777423334,0.11345069649949305,0.739613793381,-0.11731419044063356,0.11048276879378102,0.04388006175406364,-0.036612549560894055,0.0029967821212138314,-0.19182501721943251,-0.1111420263292573,-0.21023280310924553,0.08455640895177197,0.045038962676683995,-0.02505637352358442,-0.1882141622892417,-0.018664956418419525,0.07476844091408018
Child wasting,-0.0576658549086663,-0.06073332984913836,-0.06451617315327611,-0.06489648389065202,0.06899980694564276,0.06942949378149586,0.000907556060636359,0.029111485924052737,0.10572981981703815,0.05242117547055216,0.20428526176415826,-0.4941125065120661,0.11734648015097451,0.06137214352932841,-0.14571680396372433,0.30240152574054185,-0.049519807292806216,-0.09077111546075294,0.11414366750773436,0.17025619286342325,-0.18476470007600226,0.0639518956499467,-0.015364006344366285,-0.5211047532689181,-0.04595703958325397,-0.04914870480507212,-0.12200051312742262,0.25410815360607714,0.31217773663462733
Child stunting,0.1359318729144488,0.2761179940117527,0.2575458000149557,-0.33906983235118865,-0.12425062186374275,-0.23265422253621754,0.02178667672464221,0.048679109798172124,-0.33060554642334117,-0.12462430250798487,0.3896749383828125,0.06051177849228312,-0.008215616821259784,-0.26261511535333304,0.12437298355871841,0.21567891224753574,-0.35131896504973886,-0.0260539986971291,-0.0624144338933178,0.0052782033440138135,0.06880497347720728,-0.15209637971494225,0.2392741152178742,-0.012193969418494707,-0.03668411153981789,0.13348925859260985,0.061462453870960665,0.05705235561294339,0.026828702609813904
Low birth weight for gestation,-0.1326974902436906,0.1018830605894273,0.0725179142528054,0.3160333865105736,-0.3225909388564404,-0.3113046587562139,0.146388408284979,-0.13546988315541122,-0.14358174032255844,-0.0751075792931234,0.11614362094095684,0.06848431671145955,0.0494948743457596,0.3012497044749701,-0.028579511532060738,-0.04815784153360919,0.18874021582712122,0.015459383428149768,-0.0068094603696874385,0.0320744829499771,0.10623322093766803,0.20462322175326356,0.3815671658345152,-0.2803893461178083,-0.12461630624887322,-0.35183006675343126,0.07069170045250289,-0.15546788625831467,-0.050583185823471113
Secondhand smoke,0.1268164190314874,0.07401124164368379,0.013945422335324925,0.16981057009556622,0.006183345566030231,-0.011637832431002861,-0.13682737397308675,-0.07227580741366962,0.12816499343694956,0.023225952774097308,-0.013754998537052672,0.6439576342924036,0.1498571676172823,0.03629661948663675,0.05293984202830377,-0.09313097009535208,-0.35234702920008254,-0.007791686878189643,-0.016240521437756977,-0.0872329135901394,-0.2786854438728821,0.037215453474848705,-0.21256506278187898,-0.4066450634272572,0.03111373358958026,-0.028536590579924546,-0.040747024188658464,0.11804724145510212,0.13837860805391755
