Țară/Regiuine,C1,C2,C3,C4,C5,C6,C7,C8,C9,C10,C11,C12,C13,C14,C15,C16,C17,C18,C19,C20,C21,C22,C23,C24,C25,C26,C27,C28,C29
Afghanistan,-0.8505584342090576,0.29154271270196463,0.030608005728684523,-0.00021679482848883727,-0.08295893447762087,-0.132736632504214,0.06631014293164053,-0.11284879843613364,0.04180126279627883,-0.013906061803524983,0.013404085966311156,0.022071747945692412,-0.001441820971644476,-0.02148499286783799,0.1049566324556517,-0.03343392356643069,0.012603337432759171,-0.014291212392886296,-0.03478561508504154,-0.010023792029821102,-0.05490489048446169,-0.007731321354012623,0.009796812353452177,0.03755124997157876,0.009153495119645267,-0.012767991481183426,0.005783717918540646,-0.00688418998998253,0.00034174019345835886
Albania,-1.2485425078535044,0.02661934738158568,0.046050668136063816,0.009006328386729798,-0.03805074604310269,0.00029792374114856164,-0.001712192507200854,0.00021992697688484584,-0.0027944052735162503,0.0006277320385833026,-0.0006169906122352614,0.0015691028457012258,-0.003416141311467327,-0.004195436476529765,-0.0013844022767395474,0.00029972211544757174,-0.0018097359094976216,0.00033784300843928676,-0.0019584218203096524,-0.0018515395954509923,-0.00042909710950147064,0.00020932198287168505,2.8869151972451036e-05,-0.00132037553076015,0.0017495143719840392,-0.0005303580445733176,-0.0010321125530050141,0.00088419238280759,-0.00012550780320481499
Algeria,-1.0932338261206862,-0.0481840853134325,0.05147827734973719,-0.049527792599273125,-0.027007689893603012,-0.009780666904595467,0.037179524998974346,-0.032472388244002615,-0.02271297118995623,0.006590816985271136,0.05041296500786395,0.013095491631756183,-0.014310025804011762,0.007482343083484565,0.011597281567670826,0.005230221632307859,-0.00022121830690059174,0.001541502365564105,-0.004728156454861246,-0.0026659467110176473,0.005856713954344327,-0.0012679557569136332,-0.004475226982228423,0.0016962036242432004,-0.005780844149579516,0.0024170755044834943,0.0051263804835499326,-0.00011116460086264011,0.0010534555042546855
American Samoa,-1.2677991429837472,0.03927229787541059,0.04452077036479306,0.012416324586189784,-0.03358643774313975,0.0004673090944130738,-0.006325360791895463,0.00015527353066374826,-0.003725585006302178,0.0014569314832772284,-0.0005080380579676478,8.061241434856919e-05,-0.00142365625833391,0.0006899394601336011,0.0005346445282249487,2.4477310969420224e-05,-0.0004601644297527391,0.00016441712376508752,-0.00021745680996362464,-2.5738848664769912e-05,5.2535362000681144e-05,5.4894302508334924e-05,0.00017299293845687226,-7.33047947465716e-06,-1.735385895341008e-05,-1.3692634616093371e-05,-2.286355626128803e-05,4.196560763137684e-05,-1.7430510818424978e-05
Andean Latin America,-1.0441396731994932,0.00016835398430640485,0.016567849603123956,-0.02760243221985642,-0.01818010922389296,0.04315282469083501,-0.005673449600210076,-0.024698995906854412,0.007569152360625725,0.004043460894490814,0.010954770534951162,0.014238872004697884,0.035087375140892864,-0.0073542851235983255,0.01805402416019189,0.005643166928790724,0.00293945603658576,0.009702522969835243,0.010983651552011094,-0.0058489255286375,0.0006962795201914044,0.0012829261797570523,0.012221215778470634,-0.0012581487073204133,0.008982092282257938,-0.002783635158695096,0.0016397597831510821,-0.00470433706004962,-0.00023676790303712195
Andorra,-1.2677601305751829,0.039184241442585935,0.044541013733709084,0.01237201048591902,-0.033633873515647714,0.0004553630864448021,-0.006431217438308155,0.0002767212422794333,-0.003780768553977848,0.0014091461481359577,-0.0005663461581264748,8.806799840871093e-06,-0.0013726338692439406,0.0006576385493386333,0.0005688755305001617,9.172879366063546e-06,-0.0004813818082414581,0.00014127524047448614,-0.00024022440857692764,4.815567131685039e-06,9.821319093787387e-05,5.105148929887756e-05,0.00016627430580425207,-8.009651721741836e-06,-6.37196293966699e-06,-2.7371844455646176e-05,-4.364729079273196e-05,4.82316362012845e-05,-1.789937651978062e-05
Angola,-0.8911977585181484,0.4098243515500009,-0.04990906647716873,0.01571165296286194,-0.041455907088944165,-0.019761638132082066,-0.00010983188920970728,0.021679503044258107,-0.02263295079966356,-0.014839752045166356,-0.0187996161393407,-0.0018324454314803478,0.002612110900155277,0.02092625508128946,-0.036107016658243396,0.013733713969492694,-0.023837558514346744,-0.008003891757409082,-0.012485756349074808,0.02439648268458894,0.00428099717263083,0.022436254468618022,-0.009340356566392448,-0.0016586013013206121,-0.0007962402731055317,0.013220959294242565,0.0002831230668285758,-0.0024007470566986574,0.00018810900984362735
Antigua and Barbuda,-1.2676916956762783,0.039228773548407654,0.04446399338785708,0.01235086990420241,-0.033566626059124874,0.0005361079367811958,-0.006334176235223936,0.00020809381879431028,-0.0037494012117114785,0.0014446027298512195,-0.0004996902368540291,7.300358609513639e-05,-0.0014095409159349983,0.0007089826524653213,0.0005538354512566016,1.332412363363096e-05,-0.00045364278402229227,0.0001902051328540684,-0.00019987480240237014,6.796168346457787e-06,8.958473957672498e-05,6.925434421400322e-05,0.00020466310466260888,-3.0330855517410057e-05,2.025157964636309e-05,-1.971832042538113e-05,-3.0747667951218366e-05,5.1653006826853314e-05,-1.6843889117568878e-05
Argentina,-1.0327568968197038,-0.09460921320792312,0.029157964827900538,-0.06277347545213191,-0.03367666207178531,0.01836963723937929,-0.007782522989969785,-0.029174699385480913,0.004224713463538783,-0.0004697581523973176,0.025018609639577395,0.015100370106958132,-0.009149328626139314,0.021170443748408638,-0.0072781581969838935,0.008747831636751968,0.02104144476960718,0.010573122399658526,-0.016122359617713522,-0.002968835637058799,-0.01442195298058314,-0.007870188231078986,-0.023270179794520354,-0.025710436945710645,-0.0036651113340844836,0.006300763273014515,0.0060240243813642555,0.0006557763989016272,0.0012696900984926996
Armenia,-1.2407060812710238,0.020676190082766905,0.04634470936621972,0.005302939716728228,-0.038382564315979334,-0.000111043858419462,-2.6419289777218428e-05,-0.002167044949656694,-0.005734643176195025,-7.940090396621835e-05,0.0047961561461741485,0.0047374982149531895,-0.009501724672076646,-0.0018838395136295798,-0.002849438070057768,-0.0028121705791809564,-0.0017551443003966305,0.002356975081660133,-0.0012408374654032676,-0.0017874164057977186,0.0007056897911664162,0.0012516273525889677,-0.0028325100593772114,-0.000996026999481615,4.820211647499852e-05,-0.00029302185137005705,0.0012417973418277165,0.000948897162344206,9.806480442768003e-05
Australasia,-1.135003954544616,-0.0552141953328052,0.048699531381230045,-0.05641733910419636,-0.011714372150494846,-0.005224318735470008,-0.03054202108799278,0.003494837503609166,-0.006407878548890063,-0.009964669716110335,-0.007216524689473493,-0.008893097883936368,0.005292950184981819,-0.001480518579405075,0.007469028671265378,0.004335241885362612,-0.0018197887463716038,-0.013404483147038466,-0.0013549328669840836,-0.008901074306682326,-2.1048258788035122e-05,-0.002122157821727796,0.004290954445940326,0.010681182981245483,-0.006006022795718379,0.00038614323033143115,0.0030241652373568574,-0.002337944913873034,-0.00035526785840516806
Australia,-1.156056440032925,-0.040132521792499834,0.04759991451013805,-0.046803004158765364,-0.014247541340933274,-0.004953378003774817,-0.03011138913488777,0.002967738713434092,-0.005958158212873856,-0.0055859601621577725,-0.006853210141794334,-0.00643035358668039,0.005066063676733218,-0.0013924739508348939,0.006411899190500933,0.002782218560545192,-0.0010223158528753736,-0.01112365555177381,-0.0016680762987692718,-0.00673582398967221,-0.00023270605617336818,-0.001928763626636952,0.004413521707146173,0.008558281369104404,-0.006259570933621296,0.0009374738036470946,0.0019495378126640232,-0.0017246044597912136,-0.00028569491573473605
