Țară/Regiune,Factor 1,Factor 2
Afghanistan,-3.010350687083651,0.36956115091696184
Albania,-0.06934405456511539,-0.2322747338691633
Algeria,-0.3435731230850021,0.21469992488579664
American Samoa,-0.20870713024085671,-0.14818778467532326
Andean Latin America,-1.6479327708989426,0.5292821497874038
Andorra,-0.2064712607680236,-0.1504780691182903
Angola,0.11567491653901976,0.36864657472816686
Antigua and Barbuda,-0.2087550802508721,-0.14772214292437838
Argentina,1.3132566034385802,-0.34619978705213655
Armenia,-0.22786252800838966,-0.06254042876748674
Australasia,-0.9516473951045892,0.21513030443125575
Australia,-0.6188063192424317,0.05000153323460716
Austria,-0.3549329390752587,0.032582357211471916
Azerbaijan,-0.3627695471950843,0.24112501488284738
Bahamas,-0.21135070381240786,-0.14568356439272354
Bahrain,-0.24781373668836915,-0.1176033907293316
Bangladesh,0.27257996536847273,2.080021475094434
Barbados,-0.2262271199168883,-0.13045513573416215
Belarus,0.7626262782271249,-0.7082693585395741
Belgium,0.44332748058246946,-0.5865788033003961
Belize,-0.21361590369519715,-0.14777034273824477
Benin,-0.17488874308945954,0.06278418330259272
Bermuda,-0.21234424427582818,-0.14793069658491778
Bhutan,-0.2056339777776829,-0.15547073581395604
Bolivia,-0.4135079313726721,-0.15077771615478522
Bosnia and Herzegovina,-0.32645375839689594,-0.09774808640046667
Botswana,-0.17992402546715652,-0.19602124431366297
Brazil,2.218584977307648,-1.105666613036396
Brunei,-0.2285644265840252,-0.12930109896486625
Bulgaria,0.6188909962767003,-0.48803781124348394
Burkina Faso,-0.43898627713399546,-0.4839795062051566
Burundi,0.44981982118741304,-1.149042260904606
Cambodia,-1.0503715936219054,-0.0022790919379848612
Cameroon,-0.30952960983780897,1.254620753695913
Canada,-1.3193175822936392,0.5349957403489031
Cape Verde,-0.19494943883020555,-0.13726332128748492
Caribbean,-2.9746354295081416,2.244045175543571
Central African Republic,-0.6945443105518652,0.22295624554852803
Central Asia,-0.7761276790264257,1.4545555902155918
Central Europe,0.33103623956514533,-0.23661923992116274
"Central Europe, Eastern Europe, and Central Asia",4.370822413568359,-2.5366283848901157
Central Latin America,0.11543900751738542,-1.0174657642883482
Central Sub-Saharan Africa,-0.29352125755602626,1.2624098432362283
Chad,-1.0806058514571548,0.3954315790889506
Chile,0.1019862614456515,-0.13975924354931116
China,2.8441137062626685,-0.5390285078155773
Colombia,0.7111563153040681,-0.8154359707573788
Comoros,-0.2415486618678115,-0.06371898224732161
Congo,-0.25380826355375274,0.06729320211973343
Costa Rica,-0.04749687206940673,-0.19068182517100707
Cote d'Ivoire,-1.0266179161674556,0.8622118523754687
Croatia,-0.31481387253347337,0.08171232038643762
Cuba,-0.29324593496598084,-0.1991832471556521
Cyprus,-0.16441346844401059,-0.1569489006901153
Czechia,-0.5505731196080451,0.24211653583604925
Democratic Republic of Congo,-0.06222319494172945,0.0670150919783148
Denmark,0.12610708478238347,-0.3786221146333019
Djibouti,-0.16572511439941243,-0.14363760124443148
Dominica,-0.2070744343071132,-0.14806974909279697
Dominican Republic,-0.4071215066920209,0.07481091777470746
East Asia,4.707874243803673,-2.4438004749228233
Eastern Europe,1.882142002617856,-1.8992784896285828
Eastern Sub-Saharan Africa,-1.682454827569967,2.244126856890292
Ecuador,-0.7033941553816992,0.12517242368985354
Egypt,0.7591689558834678,-0.791289248394681
El Salvador,-0.30074244040749726,-0.04350066802615867
England,0.17715880012506738,-0.4248027895383183
Equatorial Guinea,-0.23150910906517924,-0.17256041555371743
Eritrea,-0.00961088300915728,-0.1254717931981654
Estonia,-0.1296721763631369,-0.15291516377798162
Eswatini,-0.2963936101442368,-0.06126859998699065
Ethiopia,-3.422794414435093,3.423424904119507
Fiji,-0.4240474425834917,-0.012353393914116608
Finland,-0.6076275612138693,0.18147244064543527
France,0.03712407834317507,-1.4522447364979971
Gabon,-0.1984546276517173,-0.043500508309755825
Gambia,-0.14813568823547932,-0.1532843839848674
Georgia,-0.18517293956938874,0.17301999595478085
Germany,1.3213292133244905,-0.21489656379756
Ghana,-1.2436121112464558,1.0573719648737132
Greece,0.2526835406682586,-0.3649149405371875
Greenland,-0.1998805890597274,-0.15459328376167025
Grenada,-0.21217453553515614,-0.14264820220506796
Guam,-0.23307263488069777,-0.13143142384368028
Guatemala,-0.29356318955456706,-0.5546795128895449
Guinea,-0.9396670577190076,0.11155183007251104
Guinea-Bissau,-0.18502409203127743,-0.1734419218341922
Guyana,-0.191225832565719,-0.1396061822327361
Haiti,-1.845347820939658,1.348754179933527
High SDI,0.5708882978555782,-0.6976992197701035
High-income,4.416013589320579,-2.073842192501207
High-income Asia Pacific,-2.7338934210051153,1.4067306989288033
High-middle SDI,1.7777350106661391,-0.08771661498557416
Honduras,-0.2612239263905872,-0.18786966125387686
Hungary,-0.045961481859850724,-0.18847881222457846
Iceland,-0.21742354842451464,-0.14238288923643366
India,1.1398478249397883,1.504936164627995
Indonesia,0.8988786185129566,-1.900884441475023
Iran,-2.5519289996161323,0.973136154270718
Iraq,1.6597943369187076,-1.279869217703546
Ireland,-0.12219308718810591,-0.21033212582063165
